barcode,brand_id,category,categoryCode,cpgOid,name,topBrand,brandCode
5.11111E+11,601ac115be37ce2ead437551,Baking,BAKING,601ac114be37ce2ead437550,test brand @1612366101024,FALSE,
5.11112E+11,601c5460be37ce2ead43755f,Beverages,BEVERAGES,5332f5fbe4b03c9a25efd0ba,Starbucks,FALSE,STARBUCKS
5.11112E+11,601ac142be37ce2ead43755d,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146176,FALSE,TEST BRANDCODE @1612366146176
5.11112E+11,601ac142be37ce2ead43755a,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146051,FALSE,TEST BRANDCODE @1612366146051
5.11111E+11,601ac142be37ce2ead43755e,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1612366146827,FALSE,TEST BRANDCODE @1612366146827
5.11112E+11,601ac142be37ce2ead43755b,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146091,FALSE,TEST BRANDCODE @1612366146091
5.11111E+11,601ac142be37ce2ead43755c,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146133,FALSE,TEST BRANDCODE @1612366146133
5.11111E+11,5cdad0f5166eb33eb7ce0faa,Condiments & Sauces,,559c2234e4b06aca36af13c6,J.L. Kraft,,J.L. KRAFT
5.11112E+11,5ab15636e4b0be0a89bb0b07,Canned Goods & Soups,,5a734034e4b0d58f376be874,Campbell's Home Style,FALSE,CAMPBELLS HOME STYLE
5.11112E+11,5c408e8bcd244a1fdb47aee7,Baking,,59ba6f1ce4b092b29c167346,test,,TEST
5.11112E+11,5f4bf556be37ce0b4491554d,Baking,BAKING,5f4bf556be37ce0b44915549,test brand @1598813526777,,TEST BRANDCODE @1598813526777
5.11111E+11,57c08106e4b0718ff5fcb02c,,,5332f5f2e4b03c9a25efd0aa,MorningStar,,
5.11111E+11,588ba07be4b02187f85cdadd,Baking,,559c2234e4b06aca36af13c6,Calumet,FALSE,CALUMET
5.11111E+11,5d6413156d5f3b23d1bc790a,Magazines,,5d5d4fd16d5f3b23d1bc7905,Entertainment Weekly,,5.11111E+11
5.11112E+11,585a9611e4b03e62d1ce0e74,Breakfast & Cereal,,5332f5fbe4b03c9a25efd0ba,AUNT JEMIMA Syrup,FALSE,AUNT JEMIMA SYRUP
5.11111E+11,57e5820ce4b0ac389136a311,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Molson Canadian,FALSE,MOLSON
5.11112E+11,5fb6adb8be37ce522e165cb8,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,LotriminÂ®,FALSE,LOTRIMIN
5.11112E+11,5f358338be37ce443bf9d55a,Baking,BAKING,5f358338be37ce443bf9d557,test brand @1597342520277,,TEST BRANDCODE @1597342520277
5.11111E+11,5fb28549be37ce522e165cb5,Baking,BAKING,5fb28549be37ce522e165cb4,test brand @1605535049181,FALSE,
5.11111E+11,592486bfe410d61fcea3d139,Beauty,,5332f5f6e4b03c9a25efd0b4,ST. IVES,FALSE,ST IVES
5.11111E+11,5c4699f387ff3577e203ea29,Baby,,55b62995e4b0d8e685c14213,Chris Image Test,,CHRISIMAGE
5.11111E+11,5da6071ea60b87376833e34d,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,Alka-SeltzerÂ®,,ALKA SELTZER
5.11112E+11,57ebc011e4b0ac389136a335,Condiments & Sauces,,559c2234e4b06aca36af13c6,Jack Daniel's,FALSE,JACK DANIEL'S BARBECUE
5.11111E+11,5332f5fee4b03c9a25efd0bd,,,53e10d6368abd3c7065097cc,Bottled Starbucks,,
5.11112E+11,5332fa7ce4b03c9a25efd22e,,,5332f5ebe4b03c9a25efd0a8,Full Throttle,,
5.11112E+11,5e9f18bfbe37ce3e45b6a77f,Baking,BAKING,5e9f12f5be37ce3e45b6a77e,PopUp Brand A,,
5.11111E+11,592486bee410d61fcea3d133,Frozen,,5332f5f6e4b03c9a25efd0b4,MAGNUM Ice Cream,FALSE,MAGNUM Ice Cream
5.11111E+11,5d66d71fa3a018093ab34728,Magazines,,5d5d4fd16d5f3b23d1bc7905,Elegant Homes Magazine,,5.11111E+11
5.11111E+11,5f493e72be37ce64d0ae36c6,Baking,BAKING,5f493e72be37ce64d0ae36c2,test brand @1598635634882,,TEST BRANDCODE @1598635634882
5.11111E+11,5f4936ddbe37ce52f8314fd9,Baking,BAKING,5f4936dcbe37ce52f8314fd8,test brand @1598633693011,,
5.11111E+11,57ebc2e7e4b0ac389136a34b,Grocery,,559c2234e4b06aca36af13c6,Taco Bell,FALSE,TACO BELL
5.11112E+11,5fd2a0aebe37ce49eb72c0ee,Baking,BAKING,5fd2a0aebe37ce49eb72c0ed,test brand @1607639214411,FALSE,
5.11112E+11,5dc03596a60b873d6b0666cd,Breakfast & Cereal,,53e10d6368abd3c7065097cc,Frosted Cheeriosâ„¢,,FROSTED CHEERIOS
5.11112E+11,5f494c5f04db711dd8fe87e6,Baking,BAKING,5f494c5d04db711dd8fe87e2,test brand @1598639199674,,TEST BRANDCODE @1598639199674
5.11111E+11,5332f772e4b03c9a25efd125,,,5332f5f3e4b03c9a25efd0ae,Gold Medal,,
5.11111E+11,59dfaad1e4b0a56a2fa69abc,Baking,,559c2234e4b06aca36af13c6,GODIVA Instant Pudding Mix,FALSE,GODIVA DRY PACKAGED DESSERTS
5.11111E+11,5daf33e71dda2c3e1416ae93,Snacks,,5332f5f3e4b03c9a25efd0ae,LÃ„RABARâ„¢,,LARABAR
5.11111E+11,5f35a0babe37ce6853cff1ff,Baking,BAKING,5f35a0babe37ce6853cff1fd,test brand @1597350074333,,TEST BRANDCODE @1597350074333
5.11112E+11,5fd29590be37ce38bbbefb28,Baking,BAKING,5fd29590be37ce38bbbefb25,test brand @1607636368717,FALSE,TEST BRANDCODE @1607636368717
5.11112E+11,5fd3acb6be37ce0d9386bb40,Baking,BAKING,5fd3acb5be37ce0d9386bb3e,test brand @1607707830095,FALSE,TEST BRANDCODE @1607707830095
5.11112E+11,5bd200a6965c7d66d92731ea,Household,,550b2565e4b001d5e9e4146f,Cottonelle,FALSE,COTTONELLE
5.11111E+11,585a9675e4b03e62d1ce0e7f,Beverages,,5332f5fbe4b03c9a25efd0ba,Izze,FALSE,IZZE
5.11111E+11,5887a17ee4b02187f85cdad3,Beverages,,559c2234e4b06aca36af13c6,Mio,FALSE,MIO
5.11112E+11,5332f765e4b03c9a25efd11f,,,5332f5ebe4b03c9a25efd0a8,Glaceau vitaminwater,,
5.11112E+11,5d66d94d6d5f3b6188d4f04b,Magazines,,5d5d4fd16d5f3b23d1bc7905,Magnolia Journal Magazine,,5.11112E+11
5.11111E+11,5d66d2fd6d5f3b6188d4f045,Magazines,,5d5d4fd16d5f3b23d1bc7905,American Patchwork & Quilting Magazine,,QUILTING SPECIAL EDITION
5.11111E+11,5332f5f3e4b03c9a25efd0ad,,,5332f5f3e4b03c9a25efd0ae,Gree Giant,,
5.11111E+11,5fa1c567be37ce402c4618f1,Baking,BAKING,5fa1c567be37ce402c4618ef,test brand @1604437351617,FALSE,TEST BRANDCODE @1604437351617
5.11112E+11,5a5d1e76e4b0db471c2d0425,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Herman Joseph's,,HERMAN
5.11111E+11,55b630d9e4b0d8e685c1421f,,,55b62995e4b0d8e685c14213,Sundrop,,
5.11112E+11,5d602d9d6d5f3b23d1bc7907,Beverages,,5332f5fbe4b03c9a25efd0ba,Kevita Sparkling Drinks,,KEVITA
5.11112E+11,57ebbf75e4b0ac389136a32f,Frozen,,559c2234e4b06aca36af13c6,Delimex,FALSE,DELIMEX
5.11111E+11,5d2f68d96d5f3b107e208da4,Personal Care,,5332f5f6e4b03c9a25efd0b4,THE RIGHT TO SHOWER,,THE RIGHT TO SHOWER
5.11111E+11,592486bde410d61fcea3d124,Personal Care,,5332f5f6e4b03c9a25efd0b4,CARESS,FALSE,CARESS
5.11111E+11,5f16f536be37ce2b30061e27,Baking,BAKING,5f16f535be37ce2b30061e24,test brand @1595340086044,,TEST BRANDCODE @1595340086044
5.11112E+11,5332f6ede4b03c9a25efd0e5,,,5332f6ede4b03c9a25efd0e6,Blue Bunny,,
5.11111E+11,5332fa05e4b03c9a25efd1d6,,,5332f5f2e4b03c9a25efd0aa,Krave,,
5.11111E+11,5f3d6f44be37ce4ddbb1bb3e,Baking,BAKING,5f3d6f44be37ce4ddbb1bb3a,test brand @1597861700968,,TEST BRANDCODE @1597861700968
